,cantidad
Barbecued Chicken,220.8679245283019
Red Peppers,1489.330188679245
Green Peppers,459.2830188679245
Tomatoes,2447.6886792452833
Red Onions,1783.7264150943397
Barbecue Sauce,220.8679245283019
Chicken,793.9811320754717
Artichoke,213.33962264150944
Spinach,858.5377358490566
Garlic,2554.867924528302
Jalapeno Peppers,540.4245283018868
Fontina Cheese,298.2452830188679
Gouda Cheese,213.33962264150944
Mushrooms,802.0754716981132
Asiago Cheese,297.1132075471698
Alfredo Sauce,86.40566037735849
Pesto Sauce,244.47169811320754
Corn,327.08490566037733
Cilantro,327.08490566037733
Chipotle Sauce,327.08490566037733
Pineapple,430.4150943396226
Thai Sweet Chilli Sauce,227.6320754716981
Bacon,307.3867924528302
Pepperoni,832.6415094339623
Italian Sausage,108.33962264150944
Chorizo Sausage,108.33962264150944
Sliced Ham,202.78301886792454
Mozzarella Cheese,974.6037735849056
Capocollo,626.4056603773585
Goat Cheese,317.49056603773585
Oregano,134.26415094339623
Anchovies,126.99056603773585
Green Olives,533.5471698113208
Kalamata Olives,311.7452830188679
Feta Cheese,427.6981132075472
Beef Chuck Roast,152.80188679245282
Brie Carre Cheese,27.735849056603776
Prosciutto,27.735849056603776
Caramelized Onions,27.735849056603776
Pears,27.735849056603776
Thyme,27.735849056603776
Nduja Salami,84.56603773584905
Pancetta,84.56603773584905
Friggitello Peppers,84.56603773584905
Calabrese Salami,175.5566037735849
Genoa Salami,133.35849056603774
Prosciutto di San Daniele,124.01886792452831
Arugula,124.01886792452831
Coarse Sicilian Salami,160.64150943396226
Luganega Sausage,160.64150943396226
Onions,160.64150943396226
Soppressata Salami,84.90566037735849
Artichokes,501.16981132075466
Peperoncini verdi,183.22641509433961
Provolone Cheese,159.50943396226415
Smoked Gouda Cheese,159.50943396226415
Romano Cheese,159.50943396226415
Blue Cheese,159.50943396226415
Ricotta Cheese,198.73584905660377
Gorgonzola Piccante Cheese,198.73584905660377
Parmigiano Reggiano Cheese,198.73584905660377
Eggplant,80.0377358490566
Zucchini,208.55660377358492
Sun-dried Tomatoes,160.5566037735849
Plum Tomatoes,81.59433962264151
